#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap
1,Bitcoin  BTC  BTC,"$38,004.79",-1.1%,-6.0%,-6.9%,"$30,730,364,487","$722,182,112,965"
2,Ethereum  ETH  ETH,"$2,792.43",-1.7%,-7.3%,-8.8%,"$17,517,051,159","$336,526,079,861"
3,Tether  USDT  USDT,$1.00,0.1%,0.3%,0.1%,"$61,643,790,051","$83,063,483,766"
4,BNB  BNB  BNB,$383.16,-1.2%,-5.1%,-8.1%,"$1,538,257,793","$64,559,673,571"
5,USD Coin  USDC  USDC,$0.997776,-0.0%,-0.1%,-0.1%,"$4,903,542,979","$49,394,347,329"
6,Solana  SOL  SOL,$95.17,-2.1%,-5.9%,-6.9%,"$985,472,284","$31,916,795,238"
7,XRP  XRP  XRP,$0.634452,-3.0%,-9.0%,-17.5%,"$3,073,348,679","$30,857,105,417"
8,Terra  LUNA  LUNA,$88.45,-0.8%,-8.6%,-3.0%,"$2,642,253,547","$30,632,069,129"
9,Cardano  ADA  ADA,$0.823106,-2.3%,-8.2%,-12.2%,"$926,335,279","$26,574,273,877"
10,Polkadot  DOT  DOT,$16.46,-3.1%,-9.4%,-9.4%,"$471,665,408","$18,506,468,321"
11,Avalanche  AVAX  AVAX,$68.39,-1.6%,-5.9%,-12.0%,"$544,607,370","$18,418,960,055"
12,Dogecoin  DOGE  DOGE,$0.137605,-2.9%,-12.2%,-1.9%,"$4,009,818,060","$18,357,763,424"
13,TerraUSD  UST  UST,$1.00,-0.0%,0.1%,-0.2%,"$959,927,076","$18,327,971,679"
14,Binance USD  BUSD  BUSD,$0.997837,-0.2%,-0.5%,-0.1%,"$4,991,366,290","$17,466,612,414"
15,Shiba Inu  SHIB  SHIB,$0.000022793909,-2.0%,-6.7%,-9.8%,"$852,409,299","$12,600,754,318"
16,Wrapped Bitcoin  WBTC  WBTC,"$37,982.80",-1.1%,-6.0%,-7.0%,"$336,769,209","$10,659,018,695"
17,Lido Staked Ether  STETH  STETH,"$2,786.40",-1.8%,-7.5%,-8.9%,"$11,286,089","$10,092,322,349"
18,Cronos  CRO  CRO,$0.377845,-1.2%,-6.1%,-8.2%,"$55,150,816","$9,563,967,110"
19,NEAR Protocol  NEAR  NEAR,$12.54,-5.1%,-12.3%,-22.8%,"$999,350,505","$8,641,886,174"
20,Dai  DAI  DAI,$1.00,0.0%,-0.0%,-0.1%,"$270,075,165","$8,625,781,111"
21,Polygon  MATIC  MATIC,$1.23,-2.6%,-8.9%,-13.5%,"$517,090,016","$8,547,554,131"
22,Bonded Luna  BLUNA  BLUNA,$88.41,-0.3%,-8.5%,-1.3%,"$72,746,342","$7,503,235,928"
23,Litecoin  LTC  LTC,$97.52,-1.7%,-6.9%,-12.4%,"$632,002,531","$6,889,554,040"
24,TRON  TRX  TRX,$0.061917578975,-1.4%,-5.2%,0.6%,"$757,679,403","$6,312,544,809"
25,Cosmos Hub  ATOM  ATOM,$20.18,-2.2%,-8.9%,-16.2%,"$410,192,375","$5,905,806,811"
26,Chainlink  LINK  LINK,$12.25,-2.5%,-9.0%,-12.7%,"$406,176,660","$5,780,950,825"
27,Bitcoin Cash  BCH  BCH,$293.85,-1.6%,-6.6%,-13.7%,"$407,020,765","$5,622,216,962"
28,LEO Token  LEO  LEO,$5.82,-0.1%,-2.2%,-2.1%,"$2,609,170","$5,445,041,999"
29,FTX Token  FTT  FTT,$38.64,-1.6%,-7.8%,-11.0%,"$99,233,490","$5,296,135,630"
30,ApeCoin  APE  APE,$17.93,-2.0%,-3.0%,51.0%,"$2,132,055,384","$5,106,261,636"
31,OKB  OKB  OKB,$19.27,-1.8%,-5.0%,-3.1%,"$76,598,783","$5,020,276,712"
32,Stellar  XLM  XLM,$0.179795,-2.0%,-6.6%,-12.4%,"$231,913,576","$4,472,937,835"
33,Algorand  ALGO  ALGO,$0.650701,-2.4%,-7.5%,-11.9%,"$174,866,711","$4,386,325,022"
34,Monero  XMR  XMR,$228.79,-5.0%,-10.4%,-13.6%,"$223,179,810","$4,221,717,750"
35,Ethereum Classic  ETC  ETC,$30.21,-2.8%,-10.5%,-18.3%,"$358,622,815","$4,125,074,003"
36,Uniswap  UNI  UNI,$7.96,-2.1%,-8.9%,-15.4%,"$144,302,684","$3,664,486,733"
37,VeChain  VET  VET,$0.050911067270,-2.7%,-10.4%,-14.5%,"$262,499,128","$3,419,916,271"
38,Hedera  HBAR  HBAR,$0.166697,-2.7%,-8.6%,-14.5%,"$45,192,495","$3,404,490,339"
39,Internet Computer  ICP  ICP,$14.74,-2.9%,-8.8%,-13.3%,"$158,317,840","$3,362,633,629"
40,Filecoin  FIL  FIL,$17.11,-2.8%,-7.7%,-12.9%,"$274,180,887","$3,348,851,179"
41,Elrond  EGLD  EGLD,$144.45,-2.5%,-7.5%,-6.7%,"$74,910,504","$3,244,163,990"
42,Axie Infinity  AXS  AXS,$38.48,-2.7%,-10.5%,-16.9%,"$298,272,150","$2,998,515,975"
43,The Sandbox  SAND  SAND,$2.46,-3.3%,-9.6%,-10.4%,"$329,249,021","$2,891,595,154"
44,Magic Internet Money  MIM  MIM,$0.997433,-0.2%,-0.4%,-0.1%,"$15,478,398","$2,802,028,971"
45,cETH  CETH  CETH,$56.55,-0.2%,-6.3%,-8.0%,$0.000000000000,"$2,766,879,583"
47,Theta Network  THETA  THETA,$2.71,-3.2%,-10.1%,-10.9%,"$195,285,992","$2,732,415,171"
46,Decentraland  MANA  MANA,$1.80,-2.7%,-9.1%,-13.9%,"$238,951,761","$2,725,281,944"
48,Frax  FRAX  FRAX,$0.998610,-0.2%,-0.1%,-0.3%,"$29,761,126","$2,689,538,023"
50,Fantom  FTM  FTM,$0.966096,-2.8%,-9.7%,-15.4%,"$413,492,908","$2,483,714,825"
49,Tezos  XTZ  XTZ,$2.78,-2.4%,-5.8%,-12.5%,"$91,979,650","$2,462,303,416"
51,The Graph  GRT  GRT,$0.338905,-2.1%,-5.1%,-6.5%,"$462,460,136","$2,350,268,109"
52,Klaytn  KLAY  KLAY,$0.844009,-1.1%,-6.6%,-13.5%,"$61,498,499","$2,346,203,517"
53,THORChain  RUNE  RUNE,$7.64,-1.2%,-9.2%,-6.8%,"$248,418,221","$2,309,078,843"
54,PancakeSwap  CAKE  CAKE,$7.60,-1.1%,-15.1%,-10.2%,"$379,353,279","$2,204,160,149"
55,EOS  EOS  EOS,$2.17,-2.9%,-8.4%,-11.4%,"$433,141,194","$2,173,981,166"
56,Aave  AAVE  AAVE,$157.34,-2.4%,-7.3%,-6.8%,"$378,218,580","$2,153,131,850"
57,DeFiChain  DFI  DFI,$4.10,-1.7%,-5.7%,-6.9%,"$22,768,840","$2,126,875,721"
58,cUSDC  CUSDC  CUSDC,$0.022523621008,-0.2%,-0.2%,-0.0%,$305.84,"$1,971,661,538"
59,STEPN  GMT  GMT,$3.27,-1.2%,-0.0%,2.5%,"$1,875,204,347","$1,961,489,316"
60,Theta Fuel  TFUEL  TFUEL,$0.150361,-2.1%,-7.8%,-8.6%,"$13,878,888","$1,886,178,774"
61,Flow  FLOW  FLOW,$5.15,-2.4%,-6.4%,-11.5%,"$59,306,913","$1,862,324,257"
62,KuCoin Token  KCS  KCS,$18.75,-1.0%,-4.8%,-7.6%,"$5,764,527","$1,839,229,427"
63,Zcash  ZEC  ZEC,$144.70,-3.1%,-12.7%,-7.3%,"$181,482,618","$1,810,205,762"
64,Frax Share  FXS  FXS,$27.88,-0.1%,-3.1%,-20.4%,"$28,192,145","$1,685,363,985"
65,IOTA  MIOTA  MIOTA,$0.597146,-2.6%,-8.3%,-10.5%,"$51,398,419","$1,678,745,423"
66,BitTorrent  BTT  BTT,$0.000001753787,-1.0%,-5.1%,-8.3%,"$72,351,374","$1,630,220,949"
67,Osmosis  OSMO  OSMO,$4.54,-1.0%,-7.6%,-21.3%,"$49,332,823","$1,610,145,159"
68,Helium  HNT  HNT,$15.85,-2.5%,-8.4%,-17.3%,"$15,297,962","$1,609,050,447"
69,cDAI  CDAI  CDAI,$0.021942356057,-0.3%,-0.0%,-0.0%,$138.08,"$1,591,130,068"
70,Waves  WAVES  WAVES,$15.26,-2.4%,-10.6%,-25.1%,"$332,849,271","$1,532,291,705"
71,eCash  XEC  XEC,$0.000079543454,-2.1%,-8.6%,-12.2%,"$24,927,573","$1,523,092,973"
72,Maker  MKR  MKR,"$1,621.83",-2.7%,-7.7%,-10.8%,"$68,862,671","$1,476,726,031"
73,Huobi BTC  HBTC  HBTC,"$37,674.12",0.9%,-6.4%,-7.6%,"$2,201,179","$1,473,254,896"
74,Bitcoin SV  BSV  BSV,$76.18,-1.6%,-5.5%,-10.0%,"$82,792,012","$1,457,346,816"
75,Chain  XCN  XCN,$0.084865431213,0.5%,-10.0%,-20.0%,"$70,652,688","$1,439,529,913"
76,Convex Finance  CVX  CVX,$24.15,-1.8%,-7.5%,-14.2%,"$15,855,506","$1,419,150,848"
77,Huobi Token  HT  HT,$9.09,-0.8%,-3.8%,-3.3%,"$40,413,030","$1,411,366,630"
78,Kusama  KSM  KSM,$153.76,-2.6%,-5.9%,-8.2%,"$90,145,813","$1,386,990,463"
79,TrueUSD  TUSD  TUSD,$0.999338,-0.1%,0.0%,-0.1%,"$120,996,282","$1,355,072,086"
80,Quant  QNT  QNT,$100.30,-1.5%,-7.5%,-10.3%,"$45,263,254","$1,338,056,086"
81,Zilliqa  ZIL  ZIL,$0.091733144671,-3.2%,-11.9%,-14.9%,"$347,950,080","$1,323,301,992"
82,NEO  NEO  NEO,$18.45,-2.4%,-7.8%,-13.5%,"$88,636,761","$1,311,957,348"
83,Arweave  AR  AR,$26.12,2.2%,-5.9%,-13.7%,"$23,020,453","$1,308,976,369"
84,Gala  GALA  GALA,$0.164520,-3.4%,-10.1%,-15.7%,"$252,299,961","$1,259,734,942"
85,Radix  XRD  XRD,$0.127023,-0.3%,1.9%,-10.1%,"$295,849","$1,242,115,779"
86,Harmony  ONE  ONE,$0.100011,-2.3%,-8.9%,-20.0%,"$57,044,582","$1,204,734,821"
87,Synthetix Network Token  SNX  SNX,$5.42,-4.1%,-10.2%,4.7%,"$268,531,238","$1,204,444,089"
88,Enjin Coin  ENJ  ENJ,$1.27,-2.8%,-7.9%,-12.5%,"$149,649,602","$1,194,063,146"
89,NEXO  NEXO  NEXO,$2.07,-1.6%,-7.3%,-12.6%,"$9,942,437","$1,167,860,481"
90,Celo  CELO  CELO,$2.67,-3.3%,-9.1%,-14.1%,"$68,015,952","$1,167,197,227"
91,BitDAO  BIT  BIT,$1.20,-1.9%,-8.4%,-1.6%,"$26,379,972","$1,108,067,805"
92,Stacks  STX  STX,$1.04,-1.5%,-6.9%,-15.3%,"$17,088,685","$1,091,195,048"
93,Chiliz  CHZ  CHZ,$0.195075,-2.8%,-7.9%,-15.1%,"$146,804,807","$1,050,429,548"
94,Loopring  LRC  LRC,$0.815199,-2.7%,-8.4%,-12.9%,"$103,947,715","$1,025,140,635"
95,Pax Dollar  USDP  USDP,$0.999538,-0.1%,-0.1%,-0.1%,"$14,323,171","$1,016,458,959"
96,Dash  DASH  DASH,$92.37,-2.9%,-7.2%,-14.8%,"$140,737,667","$1,004,863,649"
97,Amp  AMP  AMP,$0.020832556111,-0.7%,-3.6%,-4.0%,"$15,175,405","$992,003,736"
98,Basic Attention Token  BAT  BAT,$0.654528,-2.6%,-9.6%,-14.4%,"$86,549,066","$987,829,134"
99,Neutrino USD  USDN  USDN,$0.973765,-0.3%,-0.5%,-1.7%,"$11,046,358","$938,925,858"
100,Lido DAO  LDO  LDO,$2.96,-1.1%,-9.9%,1.2%,"$5,706,380","$933,593,235"
